Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
ETH-1,33,2.02,37.02,0.2052,,,0.0165,
ETH-2,32,-10.17,19.88,0.2085,,,0.0165,
ETH-3,58,1.71,37.45,0.6132,,,0.0150,
ETH-4,4,-10.22,19.72,0.4511,,,0.0042,
2FPA1_UviMed250,4,0.02,41.63,0.6554,0.0076,± 0.0150,0.0060,0.175
2FPA1_UviMed315,4,0.08,41.59,0.6540,0.0076,± 0.0150,0.0157,0.950
2FPA1_UviMed355,3,0.17,41.66,0.6503,0.0087,± 0.0170,0.0122,0.552
2FPA1_UviMed400,8,0.22,41.75,0.6410,0.0056,± 0.0110,0.0106,0.520
2FPA1_UviMed450,4,0.29,41.75,0.6499,0.0076,± 0.0150,0.0084,0.272
2FPA1_UviMed500,4,0.37,41.78,0.6448,0.0076,± 0.0149,0.0098,0.284
2FPA1_UviMed560,4,0.47,41.78,0.6528,0.0076,± 0.0150,0.0073,0.195
MD00-2360_menardi355,4,1.67,38.92,0.5977,0.0075,± 0.0147,0.0160,0.937
MD00-2360_menardi400,4,1.75,39.00,0.6190,0.0074,± 0.0146,0.0138,0.873
MD00-2360_menardi450,4,1.70,38.88,0.6168,0.0074,± 0.0145,0.0108,0.387
MD00-2360_menardi500,4,1.71,38.79,0.5969,0.0073,± 0.0144,0.0076,0.296
MD00-2360_menardi560,4,1.76,38.77,0.6124,0.0073,± 0.0143,0.0076,0.257
MD00-2360_orbulina500,4,2.10,37.81,0.6023,0.0074,± 0.0145,0.0086,0.391
MD00-2360_orbulina560,4,2.16,37.76,0.6139,0.0074,± 0.0145,0.0045,0.096
MD00-2360_ruber250,7,0.96,37.48,0.5917,0.0058,± 0.0114,0.0105,0.210
MD02-2577_menardi500,4,1.74,39.18,0.6142,0.0074,± 0.0145,0.0127,0.394
MD02-2577_menardi560,4,1.85,39.48,0.6044,0.0074,± 0.0145,0.0135,0.512
MD02-2577_orbulina560,4,2.25,38.79,0.6153,0.0074,± 0.0145,0.0157,0.699
MD02-2577_ruber250,4,1.09,37.92,0.5959,0.0073,± 0.0144,0.0123,0.451
MD02-2577_ruber315,4,1.50,37.78,0.5977,0.0073,± 0.0144,0.0142,0.849
MD03-2680_pachyD200,4,0.46,41.09,0.6470,0.0074,± 0.0145,0.0120,0.704
MD04-2720_pachyD200,4,1.42,42.67,0.6760,0.0075,± 0.0148,0.0047,0.124
MD08-3179_inflata200,4,0.21,40.02,0.6272,0.0075,± 0.0147,0.0154,0.753
MD08-3179_inflata250,4,0.63,40.30,0.6224,0.0073,± 0.0144,0.0139,0.525
MD08-3179_inflata315,4,0.51,40.82,0.6376,0.0074,± 0.0146,0.0166,0.932
MD08-3179_inflata355,4,0.83,40.54,0.6286,0.0074,± 0.0146,0.0086,0.265
MD08-3179_inflata400,4,0.87,40.42,0.6219,0.0073,± 0.0144,0.0083,0.224
MD08-3179_inflata450,3,1.00,40.59,0.6247,0.0085,± 0.0168,0.0109,0.446
MD08-3179_ruber200,4,0.45,39.22,0.6224,0.0074,± 0.0145,0.0140,0.602
MD08-3179_ruber250,4,0.95,39.21,0.6167,0.0073,± 0.0144,0.0214,0.341
MD08-3179_truncaD315,4,0.88,40.39,0.6241,0.0074,± 0.0145,0.0164,0.763
MD08-3179_truncaD355,4,0.96,40.39,0.6424,0.0074,± 0.0145,0.0188,0.550
MD08-3179_truncaD400,4,0.98,40.48,0.6251,0.0074,± 0.0145,0.0098,0.468
MD08-3179_truncaD450,4,0.96,40.42,0.6278,0.0074,± 0.0146,0.0022,0.047
MD08-3179_truncaS355,4,0.92,40.42,0.6380,0.0074,± 0.0145,0.0078,0.253
MD08-3179_truncaS400,4,1.08,40.41,0.6343,0.0074,± 0.0145,0.0207,0.438
MD08-3179_truncaS450,4,1.06,40.52,0.6342,0.0074,± 0.0146,0.0066,0.175
MD08-3182_bullo200,3,-0.32,41.20,0.6532,0.0085,± 0.0168,0.0037,0.109
MD08-3182_bullo250,4,-0.24,41.14,0.6489,0.0074,± 0.0146,0.0069,0.236
MD08-3182_bullo315,4,-0.23,41.24,0.6650,0.0074,± 0.0146,0.0089,0.241
MD08-3182_bullo355,4,-0.18,41.22,0.6428,0.0074,± 0.0146,0.0124,0.624
MD08-3182_pachyS200,4,0.60,41.13,0.6504,0.0074,± 0.0145,0.0049,0.089
MD12-3401_bullo200,4,0.23,41.30,0.6572,0.0075,± 0.0147,0.0046,0.090
MD12-3401_bullo250,4,0.52,41.42,0.6626,0.0075,± 0.0147,0.0138,0.569
MD12-3426_menardi500,3,1.66,38.98,0.6146,0.0084,± 0.0165,0.0337,0.147
MD12-3426_menardi560,4,1.61,38.87,0.6200,0.0074,± 0.0145,0.0131,0.890
MD12-3426_orbulina560,4,2.30,37.51,0.6039,0.0073,± 0.0144,0.0099,0.210
MD88-770_bullo250,5,0.62,41.73,0.6554,0.0081,± 0.0160,0.0142,0.557
MD95-2014_bullo250,2,-0.27,41.06,0.6463,0.0112,± 0.0221,0.0102,
MD95-2014_bullo315,4,0.28,41.51,0.6492,0.0074,± 0.0146,0.0149,0.791
MD95-2014_bullo355,2,-0.14,41.07,0.6473,0.0103,± 0.0204,0.0094,
MOCOSED_CWuel250,4,1.19,43.67,0.6889,0.0075,± 0.0149,0.0136,0.500
MOCOSED_CWuel315,4,1.22,43.69,0.6724,0.0075,± 0.0148,0.0078,0.164
MOCOSED_CWuel355,4,1.20,43.66,0.6976,0.0075,± 0.0148,0.0029,0.062
MOCOSED_CWuel400,4,1.19,43.56,0.6807,0.0075,± 0.0148,0.0162,0.796
MOCOSED_pachyS200,4,0.59,42.27,0.6678,0.0074,± 0.0146,0.0038,0.092
MOCOSED_pachyS250,4,0.65,42.34,0.6654,0.0074,± 0.0145,0.0187,0.488
SU90-03_bullo250,6,-0.39,40.95,0.6429,0.0063,± 0.0123,0.0079,0.091