Species,T,sT,Salinity,pH,Alkalinity,Size,d18Oc,d18Osw_VSMOW
Bulimina marginata,7.9,0.1,35.9,7.92,2449,<150,2.02,0.33
Bulimina marginata,7.9,0.1,35.9,7.92,2449,<150,1.95,0.33
Bulimina marginata,7.9,0.1,35.9,7.92,2449,150–200,2.09,0.33
Bulimina marginata,7.9,0.1,35.9,7.92,2449,150-200,2.12,0.33
Bulimina marginata,10.2,0.1,35.8,7.92,2451,<150,1.47,0.33
Bulimina marginata,10.2,0.1,35.8,7.92,2451,<150,1.50,0.33
Bulimina marginata,10.2,0.1,35.8,7.92,2451,150–200,1.60,0.33
Bulimina marginata,10.2,0.1,35.8,7.92,2451,150–200,1.69,0.33
Bulimina marginata,10.2,0.1,35.8,7.92,2451,200–250,1.53,0.33
Bulimina marginata,12.7,0.2,35.9,7.93,2450,<150,0.97,0.33
Bulimina marginata,12.7,0.2,35.9,7.93,2450,<150,0.95,0.33
Bulimina marginata,12.7,0.2,35.9,7.93,2450,150–200,1.00,0.33
Bulimina marginata,12.7,0.2,35.9,7.93,2450,150–200,1.05,0.33
Bulimina marginata,14.7,0.1,35.9,7.94,2454,<150,0.46,0.33
Bulimina marginata,14.7,0.1,35.9,7.94,2454,<150,0.42,0.33
Bulimina marginata,14.7,0.1,35.9,7.94,2454,150–200,0.60,0.33
Bulimina marginata,13.0,0.1,35.9,7.91,2412,<150,0.89,0.33
Bulimina marginata,13.0,0.1,35.9,7.91,2412,<150,1.08,0.33
Bulimina marginata,13.0,0.1,35.9,7.91,2412,<150,0.77,0.33
Bulimina marginata,13.0,0.1,35.9,7.91,2412,150–200,0.93,0.33
Bulimina marginata,13.0,0.1,35.9,7.91,2412,150–200,1.00,0.33
Bulimina marginata,13.0,0.1,35.9,7.91,2412,150–200,1.07,0.33
Bulimina marginata,13.0,0.1,35.9,7.91,2412,200–250,1.01,0.33
Bulimina marginata,13.0,0.1,35.9,7.91,2412,200–250,1.07,0.33
Bulimina marginata,7.9,0.1,35.8,7.94,2454,<150,2.08,0.33
Bulimina marginata,7.9,0.1,35.8,7.94,2454,>150,1.91,0.33
Bulimina marginata,7.9,0.1,35.8,7.94,2454,>150,2.17,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,<150,1.31,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,<150,1.45,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,=150,1.39,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,=150,1.46,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,=150,1.52,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,150–200,1.56,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,150–200,1.44,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,150–250,1.44,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,150–250,1.54,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,200–250,1.60,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,200–250,1.57,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,200–250,1.63,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,>250,1.61,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,>250,1.66,0.33
Bulimina marginata,10.1,0.1,35.8,7.96,2457,>250,1.56,0.33
Bulimina marginata,12.7,0.1,35.9,7.98,2473,<150,0.79,0.33
Bulimina marginata,12.7,0.1,35.9,7.98,2473,=150,0.82,0.33
Bulimina marginata,12.7,0.1,35.9,7.98,2473,=150,0.84,0.33
Bulimina marginata,12.7,0.1,35.9,7.98,2473,>150,0.98,0.33
Bulimina marginata,12.7,0.1,35.9,7.98,2473,150–200,1.01,0.33
Bulimina marginata,12.7,0.1,35.9,7.98,2473,200–250,1.12,0.33
Bulimina marginata,12.7,0.1,35.9,7.98,2473,200–250,1.13,0.33
Bulimina marginata,12.7,0.1,35.9,7.98,2473,>250,1.17,0.33
Bulimina marginata,14.7,0.1,35.8,7.96,2473,<150,0.49,0.33
Bulimina marginata,14.7,0.1,35.8,7.96,2473,150–200,0.61,0.33
Bulimina marginata,14.7,0.1,35.8,7.96,2473,150–200,0.62,0.33
Bulimina marginata,14.7,0.1,35.8,7.96,2473,150–200,0.63,0.33
Bulimina marginata,14.7,0.1,35.8,7.96,2473,200–250,0.60,0.33
Bulimina marginata,14.7,0.1,35.8,7.96,2473,200–250,0.79,0.33
Bulimina marginata,14.7,0.1,35.8,7.96,2473,200–250,0.47,0.33
Bulimina marginata,14.7,0.1,35.8,7.96,2473,>250,0.73,0.33
Bulimina marginata,14.7,0.1,35.8,7.96,2473,>250,0.75,0.33
Bulimina marginata,4.1,1.1,35.8,7.80,2528,<100,2.77,0.33
Bulimina marginata,6.0,0.5,35.8,7.80,2524,<100,2.31,0.33
Bulimina marginata,6.0,0.5,35.8,7.80,2524,<100,2.07,0.33
Bulimina marginata,6.0,0.5,35.8,7.80,2524,100–150,2.21,0.33
Bulimina marginata,9.3,0.7,35.8,7.78,2524,<100,1.85,0.33
Bulimina marginata,9.3,0.7,35.8,7.78,2524,<100,1.66,0.33
Bulimina marginata,9.3,0.7,35.8,7.78,2524,100–150,1.78,0.33
Bulimina marginata,9.3,0.7,35.8,7.78,2524,100–150,1.65,0.33
Bulimina marginata,9.3,0.7,35.8,7.78,2524,100–150,1.57,0.33
Bulimina marginata,9.3,0.7,35.8,7.78,2524,=150,1.71,0.33
Bulimina marginata,9.3,0.7,35.8,7.78,2524,=150,1.72,0.33
Bulimina marginata,9.3,0.7,35.8,7.78,2524,150–200,1.78,0.33
Bulimina marginata,9.3,0.7,35.8,7.78,2524,150–200,1.73,0.33
Bulimina marginata,11.6,0.3,35.8,7.80,2525,100–150,1.21,0.33
Bulimina marginata,11.6,0.3,35.8,7.80,2525,100–150,1.06,0.33
Bulimina marginata,11.6,0.3,35.8,7.80,2525,100–150,1.06,0.33
Bulimina marginata,11.6,0.3,35.8,7.80,2525,=150,1.13,0.33
Bulimina marginata,11.6,0.3,35.8,7.80,2525,=150,1.05,0.33
Bulimina marginata,11.6,0.3,35.8,7.80,2525,150–200,1.06,0.33
Bulimina marginata,11.6,0.3,35.8,7.80,2525,150–200,1.07,0.33
Bulimina marginata,11.6,0.3,35.8,7.80,2525,200–250,1.27,0.33
Bulimina marginata,11.6,0.3,35.8,7.80,2525,200–250,1.08,0.33
Bulimina marginata,17.2,0.2,35.8,7.77,2521,150–200,-0.07,0.33
Bulimina marginata,19.3,0.1,35.8,7.80,2519,150-200,-0.44,0.33