Species,T,d18Oc-d18Ow,Ref
Globigerina bulloides,15,-0.48,Bemis et al. (1998) fig 1c
Globigerina bulloides,15,-0.39,Bemis et al. (1998) fig 1c
Globigerina bulloides,15,-0.29,Bemis et al. (1998) fig 1c
Globigerina bulloides,16,-0.68,Bemis et al. (1998) fig 1c
Globigerina bulloides,17,-0.9,Bemis et al. (1998) fig 1c
Globigerina bulloides,17,-0.83,Bemis et al. (1998) fig 1c
Globigerina bulloides,17,-0.80,Bemis et al. (1998) fig 1c
Globigerina bulloides,19,-1.25,Bemis et al. (1998) fig 1c
Globigerina bulloides,19,-1.17,Bemis et al. (1998) fig 1c
Globigerina bulloides,19,-1.10,Bemis et al. (1998) fig 1c
Globigerina bulloides,22,-1.92,Bemis et al. (1998) fig 1c
Globigerina bulloides,22,-1.78,Bemis et al. (1998) fig 1c
Globigerina bulloides,22,-1.72,Bemis et al. (1998) fig 1c
Globigerina bulloides,22,-1.66,Bemis et al. (1998) fig 1c
Globigerina bulloides,24,-2.30,Bemis et al. (1998) fig 1c
Globigerina bulloides,24,-2.28,Bemis et al. (1998) fig 1c
Globigerina bulloides,24,-2.25,Bemis et al. (1998) fig 1c