Core,Lat,Lon,Depth,T,Salinity,pH_sw_scale,Omega_calcite,Omega_aragonite,d18Osw_VSMOW,d18O_C_pachyderma,d18O_P_ariminensis,d18O_P_foveolata,d18O_U_peregrina,d18O_H_elegans,d18O_C_wuellerstorfi
5,24.4,83.38,447,8.5,35.02,7.89,2.14,1.37,0.31,1.68,1.68,,2.18,2.71,
11,24.22,83.3,751,5.8,34.91,7.95,2.11,1.34,0.26,2.27,,,2.49,3.11,
13,24.37,83.24,348,9.7,35.17,7.90,2.35,1.50,0.39,1.65,1.41,,1.87,2.63,
16,24.4,83.23,248,10.8,35.32,7.92,2.55,1.63,0.47,1.17,,,,,
19,24.42,83.21,173,12.7,35.60,7.93,2.84,1.82,0.62,1.11,,0.57,,2.03,
22,24.41,83.37,398,9.0,35.08,7.90,2.23,1.43,0.35,1.58,,,2.03,2.63,
24,24.34,83.25,494,7.8,34.95,7.89,2.07,1.32,0.28,,,,2.24,2.89,
28,24.28,83.27,648,6.3,34.91,7.91,2.01,1.28,0.26,2.05,,,2.43,3.14,
50,24.41,83.22,198,12.1,35.51,7.92,2.71,1.73,0.57,1.22,0.94,,,2.12,
53,24.38,83.23,302,10.0,35.21,7.91,2.41,1.54,0.41,1.44,1.49,,1.96,2.39,
55,24.38,83.27,359,9.1,35.10,7.90,2.27,1.45,0.36,1.76,1.63,,1.91,2.39,
62,24.33,83.26,547,7.0,34.91,7.89,2.01,1.28,0.26,1.73,1.70,,2.39,2.94,
66,23.61,79.05,302,19.0,36.62,8.05,4.55,2.97,1.16,,,,,1.15,
68,23.61,79.08,431,16.6,36.24,8.00,3.74,2.42,0.96,0.41,,0.50,,1.53,
72,23.75,79.43,542,10.8,35.31,7.92,2.47,1.58,0.47,1.12,,1.14,1.56,2.05,
76,23.59,79.42,539,11.0,35.33,7.91,2.43,1.56,0.56,1.21,1.16,1.14,1.66,,
79,23.26,79.27,486,12.1,35.50,7.92,2.65,1.70,0.57,0.98,,1.00,1.38,1.86,
89,24.56,79.24,353,17.8,36.48,8.04,4.20,2.73,1.08,0.37,,0.37,,,
92,24.55,79.26,478,15.7,36.13,8.02,3.67,2.38,0.89,,,,1.09,1.72,
94,24.57,79.23,259,18.5,36.57,8.07,4.62,3.00,1.17,0.18,,,,1.06,
97,24.56,79.23,303,18.6,36.58,8.05,4.44,2.89,1.13,0.06,,,,1.24,
99,24.57,79.51,766,8.5,35.03,7.85,1.90,1.21,0.34,1.84,,,,,
103,24.44,79.48,683,9.3,35.11,7.88,2.08,1.33,0.38,1.60,1.65,,1.81,,
110,24.58,79.24,390,17.3,36.39,8.03,4.02,2.61,1.03,0.43,,0.32,0.96,1.35,
112,24.64,79.24,404,17.1,36.35,8.02,3.94,2.56,1.01,0.42,,,,1.37,
118,24.59,79.27,531,14.5,35.91,7.96,3.15,2.03,0.85,0.88,,0.80,1.25,2.00,
121,24.77,79.25,578,11.9,35.48,7.92,2.57,1.66,0.56,1.16,,,1.52,2.05,
123,24.76,79.27,632,10.6,35.30,7.90,2.34,1.50,0.46,1.12,,,,,
125,24.76,79.29,694,9.4,35.13,7.89,2.15,1.38,0.37,1.53,1.57,,,,
134,24.84,79.22,441,17.2,36.37,8.02,3.94,2.56,1.02,0.66,,0.27,1.08,1.52,
138,24.83,79.23,484,16.8,36.29,8.02,3.90,2.54,0.98,0.74,,0.74,1.16,1.77,
P192AR-B6,74.996,-159.304,1845,-0.30,34.93,,,,0.32,,,,,,3.76
P192AR-B7,74.820,-157.558,1055,-0.31,34.93,,,,0.32,,,,,,3.80
P192AR-B8,74.824,-157.426,1402,-0.31,34.93,,,,0.32,,,,,,3.90
P192AR-B9,74.825,-157.205,2120,-0.31,34.93,,,,0.32,,,,,,3.66
P192AR-B10,74.813,-157.103,3145,-0.31,34.93,,,,0.32,,,,,,3.72
P192AR-B15,75.734,-160.861,2135,-0.36,34.95,,,,0.34,,,,,,3.63
P192AR-B16,75.729,-160.092,1388,-0.23,34.92,,,,0.31,,,,,,3.85
P193AR-B2,74.755,-157.887,893,-0.31,34.93,,,,0.32,,,,,,3.74
P193AR-B3,74.742,-157.457,1536,-0.31,34.93,,,,0.32,,,,,,3.66
P193AR-B4,74.740,-157.392,1799,-0.31,34.93,,,,0.32,,,,,,3.70
P193AR-B5,74.740,-157.362,1942,-0.31,34.93,,,,0.32,,,,,,3.92
P193AR-B7,74.740,-157.316,2476,-0.31,34.93,,,,0.32,,,,,,3.86
P193AR-B8,74.740,-157.285,2560,-0.31,34.93,,,,0.32,,,,,,3.68
P193AR-B10,74.742,-157.190,3365,-0.31,34.93,,,,0.32,,,,,,3.80
P193AR-B11,74.737,-157.158,3482,-0.31,34.93,,,,0.32,,,,,,3.69
P193AR-B18,72.142,-141.135,2940,-0.35,34.96,,,,0.36,,,,,,3.64
P194AR-B7,76.666,-173.385,2214,-0.43,34.95,,,,0.34,,,,,,3.71
P194AR-B8,78.128,-176.744,1031,-0.38,34.93,,,,0.32,,,,,,3.69
P194AR-B12,79.989,-174.289,1609,-0.41,34.95,,,,0.34,,,,,,3.83
P194AR-B16,80.339,-178.712,1533,-0.41,34.94,,,,0.33,,,,,,3.77
P194AR-B17,81.265,178.968,2217,-0.41,34.95,,,,0.34,,,,,,3.73
P194AR-B19,82.447,175.758,2400,-0.39,34.95,,,,0.34,,,,,,3.70
P194AR-B20,83.170,174.106,3110,-0.39,34.96,,,,0.36,,,,,,3.74
P194AR-B21,84.095,174.964,3193,-0.40,34.96,,,,0.36,,,,,,3.76
P194AR-B23,85.907,166.683,3475,-0.43,34.96,,,,0.36,,,,,,3.73
P194AR-B26,88.810,142.982,1020,-0.63,34.94,,,,0.33,,,,,,3.66
P194AR-B28,88.873,140.180,1990,-0.64,34.94,,,,0.33,,,,,,3.76
W120A-27G,,,49,25.6,36.52,,,,1.12,,,,,-0.71,
W120A-24G,26.42,77.93,129,23.2,36.77,,,,1.25,,,,,0.62,
W120A-23G,26.59,77.93,169,21.8,36.77,,,,1.25,,,,,0.76,
W120A-21G,26.59,77.94,199,20.8,36.76,,,,1.25,,,,,0.9,
W120A-20G,26.59,77.94,218,20.5,36.75,,,,1.24,,,,,1.02,
W120A-18G,26.58,77.95,281,18.6,36.56,,,,1.14,,,,,1.28,
W120A-19G,26.57,77.97,281,18.6,36.56,,,,1.14,,,,,1.39,
W120A-17G,26.58,77.96,298,18.2,36.52,,,,1.12,,,,,1.3,
W120A-16G,26.57,77.97,322,17.9,36.47,,,,1.09,,,,,1.30,
W120A-15G,26.57,77.97,334,17.7,36.45,,,,1.08,,,,,1.46,
W120A-14G,26.57,77.97,343,17.7,36.44,,,,1.07,,,,,1.36,
W120A-12G,26.57,77.97,368,17.2,36.37,,,,1.03,,,,,1.26,
W120A-11G,26.56,77.970,379,17.1,36.35,,,,1.02,,,,,1.41,
W120A-10G,26.56,77.970,383,17.0,36.34,,,,1.02,,,,,1.51,
W120A-09G,,,386,16.9,36.32,,,,1.01,,,,,1.51,
W120A-08G,,,394,16.8,36.31,,,,1.00,,,,,1.42,
W120A-06G,,,413,16.3,36.22,,,,0.95,,,,,1.49,
OC205-2-149JPC,26.26,77.67,423,16.1,36.20,,,,0.94,,,,,1.35,
OC205-2-148GGC,26.26,77.67,434,15.9,36.16,,,,0.92,,,,,1.60,
W120A-05G,,,450,15.6,36.12,,,,0.90,,,,,1.64,
OC205-2-48BC,26.24,77.68,595,12.7,35.66,,,,0.65,,,,,1.92,
OC205-2-74BC,,,595,12.7,35.66,,,,0.65,,,,,2.18,
OC205-2-106GGC,25.98,78.18,654,11.7,35.52,,,,0.57,,,,,2.53,
OC205-2-69BC,26.23,77.69,735,10.0,35.32,,,,0.46,,,,,2.62,
OC205-2-108GGC,25.98,78.18,743,9.8,35.29,,,,0.45,,,,,2.51,
OC205-2-50BC,26.23,77.70,817,8.4,35.16,,,,0.37,,,,,2.96,
OC205-2-144JPC,,,833,8.1,35.14,,,,0.36,,,,,2.82,
OC205-2-70BC,26.22,77.70,876,7.6,35.13,,,,0.36,,,,,3.24,
OC205-2-98GGC,,,879,7.6,35.13,,,,0.36,,,,,3.09,
OC205-2-72BC,26.23,77.71,908,7.0,35.11,,,,0.35,,,,,3.46,
OC205-2-103GGC,26.07,78.06,965,6.1,35.08,,,,0.33,,,,,3.38,
OC205-2-53BC,,,1038,5.5,35.05,,,,0.31,,,,,3.44,
OC205-2-100GGC,,,1057,5.3,35.05,,,,0.31,,,,,3.46,
OC205-2-55BC,26.03,77.88,1140,4.9,35.03,,,,0.30,,,,,3.51,
OC205-2-97JPC,26.17,77.71,1183,4.8,35.02,,,,0.30,,,,,3.52,
OC205-2-7JPC,25.94,77.85,1320,4.4,35.00,,,,0.29,,,,,3.54,
OC205-2-67BC,26.14,77.74,1392,4.3,34.99,,,,0.28,,,,,3.63,
OC205-2-59BC,26.15,77.74,1477,4.2,34.99,,,,0.28,,,,,3.64,
OC205-2-117JPC,26.17,77.74,1535,4.1,34.98,,,,0.28,,,,,3.78,