Irradiance,Species,Chamber,T,d18Osw_VSMOW,d18Oc,d13C
400-530,Globigerinoides sacculifer,test,29,1.13,-1.63,1.40
400-531,Globigerinoides sacculifer,1,29,1.13,-1.71,1.68
400-532,Globigerinoides sacculifer,2,29,1.13,-1.51,2.37
400-533,Globigerinoides sacculifer,3 (sac),29,1.13,-1.11,2.38
400-534,Globigerinoides sacculifer,test,29,1.13,-1.78,1.03
400-535,Globigerinoides sacculifer,1,29,1.13,-1.82,1.41
400-536,Globigerinoides sacculifer,2,29,1.13,-1.89,1.76
400-537,Globigerinoides sacculifer,3 (sac),29,1.13,-1.37,2.21
400-539,Globigerinoides sacculifer,1,29,1.13,-1.67,2.11
400-540,Globigerinoides sacculifer,2 (sac),29,1.13,-1.73,1.96
400-541,Globigerinoides sacculifer,test,29,1.13,-1.75,1.18
400-542,Globigerinoides sacculifer,1,29,1.13,-1.66,1.44
400-543,Globigerinoides sacculifer,2,29,1.13,-1.72,1.63
400-544,Globigerinoides sacculifer,3 (sac),29,1.13,-1.78,1.32
400-545,Orbulina universa,sphere,29,1.13,-1.65,2.03
400-546,Orbulina universa,sphere,29,1.13,-1.73,2.49
400-547,Orbulina universa,sphere,29,1.13,-1.63,1.93
100-126,Globigerinoides sacculifer,1,29,1.13,-0.93,1.02
100-127,Globigerinoides sacculifer,test,29,1.13,-1.06,0.45
100-128,Globigerinoides sacculifer,1,29,1.13,-1.35,0.45
100-129,Globigerinoides sacculifer,2,29,1.13,-1.36,0.53
100-130,Globigerinoides sacculifer,3 (sac),29,1.13,-1.32,0.74
100-131,Globigerinoides sacculifer,test,29,1.13,-1.71,0.92
100-132,Globigerinoides sacculifer,1,29,1.13,-1.40,0.48
100-133,Globigerinoides sacculifer,2,29,1.13,-1.42,0.09
100-134,Globigerinoides sacculifer,test,29,1.13,-1.79,0.37
100-135,Globigerinoides sacculifer,1,29,1.13,-1.22,0.46
100-136,Globigerinoides sacculifer,2,29,1.13,-0.96,0.83
100-139,Globigerinoides sacculifer,2,29,1.13,-0.85,0.84
100-140,Globigerinoides sacculifer,test,29,1.13,-1.23,0.55
100-141,Globigerinoides sacculifer,1,29,1.13,-1.42,0.60
100-146,Globigerinoides sacculifer,2,29,1.13,-1.30,0.64
100-147,Orbulina universa,sphere,29,1.13,-1.42,1.79
45-65,Globigerinoides sacculifer,test,29,1.13,-1.08,0.22
45-65,Globigerinoides sacculifer,1,29,1.13,-1.04,0.31
45-65,Globigerinoides sacculifer,test,29,1.13,-1.25,-0.02
45-65,Globigerinoides sacculifer,test,29,1.13,-1.56,0.11
45-65,Globigerinoides sacculifer,1,29,1.13,-1.25,0.38
45-65,Globigerinoides sacculifer,test,29,1.13,-1.26,-0.01
45-65,Globigerinoides sacculifer,1,29,1.13,-1.06,0.06
45-65,Globigerinoides sacculifer,2,29,1.13,-1.10,0.24
45-65,Orbulina universa,sphere,29,1.13,-1.38,1.09
8-10,Globigerinoides sacculifer,test,29,1.13,-0.94,0.07
8-10,Globigerinoides sacculifer,1,29,1.13,-1.20,0.22
8-10,Orbulina universa,sphere,29,1.13,-1.45,0.07