Species,T,d18Osw_VSMOW,d18Oc
Uvigerina peregrina,10.0,-4.23,-2.17
Uvigerina peregrina,10.0,-4.51,-2.69
Uvigerina peregrina,10.0,-4.51,-2.64
Bulimina marginata,9.9,-4.18,-2.44
Bulimina marginata,9.9,-4.18,-2.57
Bulimina marginata,10.0,-4.28,-2.58
Bulimina marginata,10.0,-4.28,-2.45
Bulimina marginata,10.0,-4.23,-2.49
Bulimina marginata,10.0,-4.23,-2.31
Bulimina marginata,10.0,-4.51,-2.62
Bulimina marginata,10.0,-4.51,-2.49
Cibicidoides pachyderma,9.9,-4.18,-1.65
Cibicidoides pachyderma,10.0,-4.28,-2.48
Cibicidoides pachyderma,10.0,-4.23,-2.88
Cibicidoides pachyderma,10.0,-4.51,-3.31
Discorbinella sp.,9.9,-4.18,-3.08
Discorbinella sp.,10.0,-4.28,-3.43
Discorbinella sp.,10.0,-4.28,-3.6
Discorbinella sp.,10.0,-4.23,-3.3
Discorbinella sp.,10.0,-4.23,-3.04
Discorbinella sp.,10.0,-4.51,-3.76
Discorbinella sp.,10.0,-4.51,-3.78