Sample,Ref,d18Osw,sd18Osw,T,sT
MD04-2720_pachyD,Peral et al. (2018),-0.24,0.13,2.81,1.12
MOCOSED_pachyS,Peral et al. (2018),0.21,0.12,0.59,1.32
MD12-3401_bullo,Peral et al. (2018),0.03,0.13,7.10,3.21
MD95-2014_bullo,Peral et al. (2018),0.32,0.12,7.12,1.70
MD08-3182_bullo,Peral et al. (2018),0.21,0.11,5.03,1.71
MD08-3182_pachyS,Peral et al. (2018),0.21,0.11,5.03,1.71
MD03-2680_pachyD,Peral et al. (2018),0.29,0.11,6.66,1.77
SU90-03_bullo,Peral et al. (2018),0.53,0.18,9.95,3.31
MD08-3179_inflata200,Peral et al. (2018),0.56,0.18,10.39,3.60
MD08-3179_inflata250,Peral et al. (2018),0.56,0.18,10.39,3.60
MD08-3179_inflata315,Peral et al. (2018),0.56,0.18,10.39,3.60
MD08-3179_inflata355,Peral et al. (2018),0.56,0.18,10.39,3.60
MD08-3179_inflata400,Peral et al. (2018),0.56,0.18,10.39,3.60
MD08-3179_inflata450,Peral et al. (2018),0.56,0.18,10.39,3.60
MD08-3179_ruber,Peral et al. (2018),0.56,0.18,10.39,3.60
MD08-3179_truncaD,Peral et al. (2018),0.56,0.18,10.39,3.60
MD08-3179_truncaS,Peral et al. (2018),0.56,0.18,10.39,3.60
MD12-3426_menardi,Peral et al. (2018),-0.07,0.19,22.20,2.91
MD12-3426_orbulina,Peral et al. (2018),-0.07,0.19,22.20,2.91
MD02-2577_menardi,Peral et al. (2018),0.41,0.27,8.28,5.67
MD02-2577_orbulina,Peral et al. (2018),0.41,0.27,8.28,5.67
MD02-2577_ruber,Peral et al. (2018),0.41,0.27,8.28,5.67
MD00-2360_menardi,Peral et al. (2018),0.10,0.23,9.22,6.94
MD00-2360_orbulina,Peral et al. (2018),0.10,0.23,9.22,6.94
MD00-2360_ruber,Peral et al. (2018),0.10,0.23,9.22,6.94
A1,Meinicke et al. (2020),0.12,0.28,9.31,7.73
A2,Meinicke et al. (2020),0.12,0.28,9.31,7.73
A3,Meinicke et al. (2020),0.12,0.28,9.31,7.73
A4,Meinicke et al. (2020),0.12,0.28,9.31,7.73
A5,Meinicke et al. (2020),0.12,0.28,9.31,7.73
A6,Meinicke et al. (2020),0.12,0.28,9.31,7.73
A7,Meinicke et al. (2020),0.12,0.28,9.31,7.73
B1a,Meinicke et al. (2020),0.40,0.29,9.69,6.58
B1c,Meinicke et al. (2020),0.40,0.29,9.69,6.58
B1d,Meinicke et al. (2020),0.40,0.29,9.69,6.58
B2,Meinicke et al. (2020),0.40,0.29,9.69,6.58
B5,Meinicke et al. (2020),0.40,0.29,9.69,6.58
B6,Meinicke et al. (2020),0.40,0.29,9.69,6.58
D1,Meinicke et al. (2020),-0.09,0.10,6.18,2.61
D2,Meinicke et al. (2020),-0.09,0.10,6.18,2.61
D3,Meinicke et al. (2020),-0.09,0.10,6.18,2.61
E1,Meinicke et al. (2020),0.12,0.16,9.25,5.73
E2,Meinicke et al. (2020),0.12,0.16,9.25,5.73
E3,Meinicke et al. (2020),0.12,0.16,9.25,5.73
E4,Meinicke et al. (2020),0.12,0.16,9.25,5.73
E5,Meinicke et al. (2020),0.12,0.16,9.25,5.73
E7,Meinicke et al. (2020),0.12,0.16,9.25,5.73
E8,Meinicke et al. (2020),0.12,0.16,9.25,5.73
E9,Meinicke et al. (2020),0.12,0.16,9.25,5.73
F1,Meinicke et al. (2020),0.33,0.27,11.34,6.25
G1,Meinicke et al. (2020),0.55,0.11,9.38,1.52
G2,Meinicke et al. (2020),0.55,0.11,9.38,1.52
G3,Meinicke et al. (2020),0.55,0.11,9.38,1.52
G4,Meinicke et al. (2020),0.55,0.11,9.38,1.52
I1,Meinicke et al. (2020),0.41,0.12,8.43,1.93
I2,Meinicke et al. (2020),0.41,0.12,8.43,1.93
I4,Meinicke et al. (2020),0.41,0.12,8.43,1.93
I5,Meinicke et al. (2020),0.41,0.12,8.43,1.93
J1,Meinicke et al. (2020),0.09,0.23,9.06,7.47
K1,Meinicke et al. (2020),0.24,0.11,0.58,1.36
L1,Meinicke et al. (2020),0.57,0.17,10.55,3.70
L2,Meinicke et al. (2020),0.57,0.17,10.55,3.70
L4,Meinicke et al. (2020),0.57,0.17,10.55,3.70
L5,Meinicke et al. (2020),0.57,0.17,10.55,3.70
M1,Meinicke et al. (2020),0.41,0.14,7.34,1.37
M2,Meinicke et al. (2020),0.41,0.14,7.34,1.37
N1,Meinicke et al. (2020),0.22,0.12,1.11,1.29
O1,Meinicke et al. (2020),0.26,0.10,0.87,1.64