Sample,Species,Type,Site,Lat,Lon,Depth,d13C_VPDB,SE_d13C_VPDB,d18O_VPDB,SE_d18O_VPDB,D47_ICDES,SE_D47_ICDES,Tpub,SE_Tpub,Twoa23,SE_Twoa23,Twoa23_500m,SE_Twoa23_500m,Twoa23_1500m,SE_Twoa23_1500m,Tbottom_woa23,SE_Tbottom_woa23,Tk18,SE_Tk18,Tk18_500m,SE_Tk18_500m,Tk18_1500m,SE_Tk18_1500m,Tiso_species_offset,Tiso_species,SE_Tiso_species,Tiso_species_500m,SE_Tiso_species_500m,Tiso_species_1500m,SE_Tiso_species_1500m,Tiso_KON97,SE_Tiso_KON97,Tiso_Mulitza03,SE_Tiso_Mulitza03,Twoa23_vs_Tiso_species,Twoa23_500m_vs_Tiso_species_500m,Twoa23_1500m_vs_Tiso_species_1500m,Ref
GS07-150-17-2_pyrgo,Pyrgo,benthic,GS07-150-17-2,-4.47,-37.21,1000.0,0.992,0.076,3.058,0.111,0.6802,0.0070,4.17,0.50,4.17,0.10,,,,,4.17,0.10,4.81,1.00,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
GS07-150-22-1_Cpachyderma,Cibicidoides pachyderma,benthic,GS07-150-22-1,-4.33,-37.16,598.0,1.030,0.096,2.190,0.141,0.6999,0.0088,6.06,0.50,6.14,0.13,,,,,6.14,0.13,6.23,1.00,,,,,Cibicidoides pachyderma,5.03,0.75,,,,,,,,,,,,Piasecki et al. (2019)
GS07-150-22-1_Planulina_ariminensis,Planulina ariminensis,benthic,GS07-150-22-1,-4.33,-37.16,598.0,1.560,0.200,1.963,0.293,0.6513,0.0184,6.06,0.50,6.14,0.13,,,,,6.14,0.13,6.23,1.00,,,,,Planulina ariminensis,5.87,1.35,,,,,,,,,,,,Piasecki et al. (2019)
GS07-150-22-1_pyrgo,Pyrgo,benthic,GS07-150-22-1,-4.33,-37.16,598.0,0.814,0.054,2.347,0.078,0.6700,0.0049,6.06,0.50,6.14,0.13,,,,,6.14,0.13,6.23,1.00,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
MP43-BC_U_med,Uvigerina mediterranea,benthic,MP43-BC,39.72,16.97,246.0,0.462,0.100,2.123,0.146,0.6392,0.0092,13.90,0.50,14.28,0.15,,,,,14.28,0.15,15.25,1.00,,,,,Uvigerina spp.,14.27,0.82,,,,,,,,,,,,Piasecki et al. (2019)
MP46-MC_Cmundulus,Cibicidoides mundulus,benthic,MP46-MC,39.54,17.25,582.0,1.540,0.105,1.631,0.153,0.6653,0.0096,13.90,0.50,13.91,0.10,,,,,13.91,0.10,15.14,1.00,,,,,Cibicidoides spp.,14.39,0.84,,,,,,,,,,,,Piasecki et al. (2019)
MP46-MC_Helegans,Hoeglundina elegans,benthic,MP46-MC,39.54,17.25,582.0,2.040,0.347,2.380,0.507,0.6410,0.0319,13.90,0.50,13.91,0.10,,,,,13.91,0.10,15.14,1.00,,,,,Hoeglundina elegans,16.35,2.40,,,,,,,,,,,,Piasecki et al. (2019)
MP46MC_cibpachyderma,Cibicidoides pachyderma,benthic,MP46-MC,39.54,17.25,582.0,1.173,0.142,1.675,0.207,0.6725,0.0130,13.90,0.50,13.91,0.10,,,,,13.91,0.10,15.14,1.00,,,,,Cibicidoides pachyderma,14.22,1.06,,,,,,,,,,,,Piasecki et al. (2019)
MP46MC_med,Uvigerina mediterranea,benthic,MP46-MC,39.54,17.25,582.0,0.347,0.071,2.102,0.104,0.6393,0.0065,13.90,0.50,13.91,0.10,,,,,13.91,0.10,15.14,1.00,,,,,Uvigerina spp.,14.55,0.67,,,,,,,,,,,,Piasecki et al. (2019)
MP46MC_melonis,Melonis,benthic,MP46-MC,39.54,17.25,582.0,0.615,0.142,1.752,0.207,0.6390,0.0130,13.90,0.50,13.91,0.10,,,,,13.91,0.10,15.14,1.00,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
S0213-54-4_Cpachy,Cibicidoides pachyderma,benthic,SO213-54-4,-43.72,-120.67,3840.0,0.380,0.142,2.930,0.207,0.6702,0.0130,1.42,0.50,1.48,0.50,,,,,1.48,0.50,-0.05,1.00,,,,,Cibicidoides pachyderma,1.06,0.96,,,,,,,,,,,,Piasecki et al. (2019)
SO213-71-2_Cibicides_lobatus,Cibicidoides lobatus,benthic,SO213-71-2,-45.58,-157.90,689.0,1.313,0.200,1.937,0.293,0.6557,0.0184,3.77,0.50,6.88,0.10,,,,,6.88,0.10,7.62,1.00,,,,,Cibicidoides spp.,6.00,1.34,,,,,,,,,,,,Piasecki et al. (2019)
SO213-71-2_Upergina,Uvigerina peregrina,benthic,SO213-71-2,-45.58,-157.90,689.0,0.427,0.064,4.511,0.094,0.6717,0.0059,3.77,0.50,6.88,0.10,,,,,6.88,0.10,7.62,1.00,,,,,Uvigerina peregrina,-2.63,0.58,,,,,,,,,,,,Piasecki et al. (2019)
A1,Globigerinoides ruber white,planktic,SO225-53-1,-13.52,-162.14,(0-120),1.750,0.190,-1.580,0.090,0.6080,0.0080,,,27.90,0.82,19.02,7.23,11.33,8.66,1.67,0.50,27.40,1.41,27.40,1.41,27.40,1.41,Globigerinoides ruber white,22.45,0.73,21.54,1.28,20.00,1.41,25.31,0.74,22.89,0.69,discordant,,,Meinicke et al. (2020)
A2,Trilobatus trilobus,planktic,SO225-53-1,-13.52,-162.14,(0-200),1.850,0.200,-1.410,0.160,0.6030,0.0070,,,26.39,2.07,19.02,7.23,11.33,8.66,1.67,0.50,25.89,2.37,25.89,2.37,25.89,2.37,Trilobatus sacculifer,22.16,0.98,21.10,1.43,19.57,1.54,24.62,0.98,22.25,0.91,,,,Meinicke et al. (2020)
A3,Trilobatus sacculifer,planktic,SO225-53-1,-13.52,-162.14,(0-200),2.480,0.230,-1.370,0.160,0.6010,0.0085,,,26.39,2.07,19.02,7.23,11.33,8.66,1.67,0.50,25.89,2.37,25.89,2.37,25.89,2.37,Trilobatus sacculifer,21.97,0.98,20.91,1.43,19.38,1.54,24.42,0.98,22.07,0.91,,,,Meinicke et al. (2020)
A4,Pulleniatina obliquiloculata,planktic,SO225-53-1,-13.52,-162.14,(0-100),1.500,0.140,-0.230,0.250,0.6010,0.0072,,,28.61,0.56,19.02,7.23,11.33,8.66,1.67,0.50,27.70,1.28,27.70,1.28,27.70,1.28,all planktics,17.19,1.28,16.40,1.65,14.92,1.73,18.68,1.29,16.75,1.20,discordant,,,Meinicke et al. (2020)
A5,Orbulina universa,planktic,SO225-53-1,-13.52,-162.14,(10-130),3.170,0.200,-1.260,0.230,0.5970,0.0082,,,26.33,2.06,19.02,7.23,11.33,8.66,1.67,0.50,27.14,1.48,27.14,1.48,27.14,1.48,Orbulina universa,24.85,1.29,23.87,1.67,22.31,1.77,23.78,1.27,21.48,1.18,,,,Meinicke et al. (2020)
A6,Globigerinoides conglobatus,planktic,SO225-53-1,-13.52,-162.14,(0-50),2.360,0.110,-1.220,0.200,0.6090,0.0072,,,25.47,1.75,19.02,7.23,11.33,8.66,1.67,0.50,28.24,1.22,28.24,1.22,28.24,1.22,Globigerinoides spp.,20.43,1.07,19.81,1.53,18.30,1.62,23.24,1.09,20.98,1.01,,,,Meinicke et al. (2020)
A7,Globorotalia tumida,planktic,SO225-53-1,-13.52,-162.14,(0-110),2.280,0.170,0.110,0.260,0.6110,0.0082,,,21.54,2.82,19.02,7.23,11.33,8.66,1.67,0.50,27.56,1.34,27.56,1.34,27.56,1.34,Globorotalia spp.,17.43,1.33,16.59,1.69,15.10,1.77,17.13,1.32,15.31,1.22,,,,Meinicke et al. (2020)
B1a,Globigerinoides ruber white,planktic,SO164-25-3,14.69,-59.74,(0-120),1.190,0.200,-2.290,0.110,0.5770,0.0074,,,26.42,1.09,17.71,6.40,10.54,7.10,2.84,0.50,26.01,1.62,26.01,1.62,26.01,1.62,Globigerinoides ruber white,27.79,0.86,26.39,1.55,24.81,1.53,30.75,0.87,27.91,0.81,,,,Meinicke et al. (2020)
B1c,Globigerinoides ruber white,planktic,SO164-25-3,14.69,-59.74,(0-120),0.670,0.200,-2.210,0.130,0.6050,0.0078,,,26.42,1.09,17.71,6.40,10.54,7.10,2.84,0.50,26.01,1.62,26.01,1.62,26.01,1.62,Globigerinoides ruber white,27.39,0.93,25.99,1.58,24.41,1.56,30.34,0.94,27.53,0.87,,,,Meinicke et al. (2020)
B1d,Globigerinoides ruber pink,planktic,SO164-25-3,14.69,-59.74,(0-100),1.450,0.100,-2.180,0.090,0.6010,0.0074,,,27.55,0.76,17.71,6.40,10.54,7.10,2.84,0.50,26.41,1.40,26.41,1.40,26.41,1.40,Globigerinoides spp.,27.19,0.80,25.84,1.51,24.26,1.49,30.13,0.81,27.34,0.74,,,,Meinicke et al. (2020)
B2,Trilobatus trilobus,planktic,SO164-25-3,14.69,-59.74,(0-200),1.380,0.240,-1.850,0.160,0.5910,0.0076,,,24.44,2.78,17.71,6.40,10.54,7.10,2.84,0.50,23.93,3.05,23.93,3.05,23.93,3.05,Trilobatus sacculifer,25.99,1.00,24.60,1.63,23.04,1.62,28.50,1.01,25.84,0.93,,,,Meinicke et al. (2020)
B5,Pulleniatina obliquiloculata,planktic,SO164-25-3,14.69,-59.74,(0-100),1.230,0.150,-0.900,0.100,0.5900,0.0080,,,27.48,0.77,17.71,6.40,10.54,7.10,2.84,0.50,26.41,1.40,26.41,1.40,26.41,1.40,all planktics,22.19,0.80,20.89,1.47,19.36,1.46,23.73,0.80,21.43,0.74,discordant,,,Meinicke et al. (2020)
B6,Globigerinoides conglobatus,planktic,SO164-25-3,14.69,-59.74,(0-50),2.300,0.220,-1.300,0.140,0.5960,0.0082,,,23.23,2.34,17.71,6.40,10.54,7.10,2.84,0.50,26.99,1.37,26.99,1.37,26.99,1.37,Globigerinoides spp.,22.50,0.87,21.53,1.55,20.00,1.54,25.35,0.88,22.93,0.81,,,,Meinicke et al. (2020)
D1,Globigerina bulloides,planktic,SO213-84-2,-45.12,174.58,(0-300),0.400,0.170,2.020,0.150,0.6500,0.0060,,,8.30,0.97,8.13,1.31,7.24,1.63,3.67,0.11,9.63,1.37,9.63,1.37,9.63,1.37,Globigerina bulloides,4.02,0.78,4.11,0.80,4.11,0.78,5.31,0.77,4.30,0.72,discordant,discordant,,Meinicke et al. (2020)
D2,Globorotalia truncatulinoides,planktic,SO213-84-2,-45.12,174.58,(40-250),1.010,0.110,2.170,0.130,0.6550,0.0080,,,8.33,0.81,8.13,1.31,7.24,1.63,3.67,0.11,9.58,1.20,9.58,1.20,9.58,1.20,Globorotalia spp.,4.89,0.72,5.02,0.75,5.02,0.72,4.62,0.70,3.66,0.65,discordant,discordant,,Meinicke et al. (2020)
D3,Globorotalia inflata,planktic,SO213-84-2,-45.12,174.58,(30-200),1.240,0.060,1.890,0.100,0.6520,0.0076,,,8.66,1.04,8.13,1.31,7.24,1.63,3.67,0.11,9.79,1.27,9.79,1.27,9.79,1.27,Globorotalia inflata,6.31,0.67,6.48,0.70,6.48,0.67,5.78,0.61,4.75,0.57,,,,Meinicke et al. (2020)
E1,Globigerinoides ruber white,planktic,WIND 33B,-11.21,58.77,(0-120),1.590,0.120,-1.740,0.080,0.6070,0.0076,,,23.07,3.12,15.05,6.08,9.79,6.02,1.81,0.50,23.51,2.90,23.51,2.90,23.51,2.90,Globigerinoides ruber white,21.92,0.67,21.49,0.70,20.77,0.86,24.77,0.67,22.39,0.62,,,,Meinicke et al. (2020)
E2,Trilobatus trilobus,planktic,WIND 33B,-11.21,58.77,(0-200),1.670,0.130,-1.510,0.080,0.5930,0.0069,,,20.92,4.63,15.05,6.08,9.79,6.02,1.81,0.50,20.92,4.03,20.92,4.03,20.92,4.03,Trilobatus sacculifer,21.10,0.67,20.77,0.70,20.05,0.86,23.54,0.66,21.25,0.61,,,,Meinicke et al. (2020)
E3,Trilobatus sacculifer,planktic,WIND 33B,-11.21,58.77,(0-200),2.350,0.150,-1.540,0.110,0.5990,0.0066,,,20.92,4.63,15.05,6.08,9.79,6.02,1.81,0.50,20.92,4.03,20.92,4.03,20.92,4.03,Trilobatus sacculifer,21.25,0.76,20.91,0.79,20.19,0.94,23.69,0.76,21.39,0.70,,,,Meinicke et al. (2020)
E4,Neogloboquadrina dutertrei,planktic,WIND 33B,-11.21,58.77,(0-130),1.720,0.080,-0.640,0.150,0.6040,0.0074,,,24.16,2.59,15.05,6.08,9.79,6.02,1.81,0.50,23.16,3.06,23.16,3.06,23.16,3.06,Neogloboquadrina spp.,18.74,0.90,18.32,0.93,17.61,1.05,19.44,0.88,17.46,0.82,,,,Meinicke et al. (2020)
E5,Pulleniatina obliquiloculata,planktic,WIND 33B,-11.21,58.77,(0-100),0.990,0.060,-0.800,0.150,0.6050,0.0072,,,26.31,1.09,15.05,6.08,9.79,6.02,1.81,0.50,24.25,2.56,24.25,2.56,24.25,2.56,all planktics,18.75,0.88,18.27,0.91,17.57,1.03,20.25,0.89,18.21,0.82,discordant,,,Meinicke et al. (2020)
E7,Orbulina universa,planktic,WIND 33B,-11.21,58.77,(10-130),2.370,0.130,-1.370,0.140,0.6040,0.0076,,,20.68,4.53,15.05,6.08,9.79,6.02,1.81,0.50,22.87,2.96,22.87,2.96,22.87,2.96,Orbulina universa,23.97,0.89,23.57,0.92,22.84,1.05,22.91,0.87,20.66,0.80,,,,Meinicke et al. (2020)
E8,Globorotalia menardii,planktic,WIND 33B,-11.21,58.77,(0-120),1.520,0.100,0.410,0.250,0.6260,0.0074,,,20.68,4.53,15.05,6.08,9.79,6.02,1.81,0.50,23.51,2.90,23.51,2.90,23.51,2.90,Globorotalia spp.,14.83,1.27,14.41,1.28,13.73,1.37,14.54,1.25,12.90,1.16,,,,Meinicke et al. (2020)
E9,Globorotalia tumida,planktic,WIND 33B,-11.21,58.77,(0-110),1.660,0.090,0.710,0.210,0.6250,0.0074,,,13.96,1.95,15.05,6.08,9.79,6.02,1.81,0.50,23.87,2.74,23.87,2.74,23.87,2.74,Globorotalia spp.,13.46,1.09,13.05,1.11,12.37,1.21,13.17,1.08,11.63,1.00,,,,Meinicke et al. (2020)
F1,Neogloboquadrina dutertrei,planktic,CD145 A150,23.30,66.70,(0-130),1.420,0.170,-1.130,0.090,0.6010,0.0074,,,23.92,1.38,24.72,2.00,24.72,2.00,20.26,0.39,24.26,2.34,24.26,2.34,24.26,2.34,Neogloboquadrina spp.,22.67,0.72,22.43,0.83,20.93,1.38,23.39,0.69,21.11,0.64,,,,Meinicke et al. (2020)
G1,Globigerina bulloides,planktic,CD94 17B,48.92,-11.83,(0-300),-0.440,0.110,0.720,0.070,0.6280,0.0082,,,11.90,0.77,11.62,1.02,11.04,1.10,5.33,0.19,10.32,1.81,10.32,1.81,10.32,1.81,Globigerina bulloides,12.53,0.61,12.62,0.61,12.62,0.61,13.90,0.60,12.31,0.55,,,,Meinicke et al. (2020)
G2,Globorotalia truncatulinoides,planktic,CD94 17B,48.92,-11.83,(40-250),1.050,0.150,1.480,0.120,0.6340,0.0082,,,12.00,0.67,11.62,1.02,11.04,1.10,5.33,0.19,10.09,1.39,10.09,1.39,10.09,1.39,Globorotalia spp.,10.80,0.72,10.84,0.75,10.84,0.75,10.52,0.70,9.16,0.65,,,,Meinicke et al. (2020)
G3,Globorotalia inflata,planktic,CD94 17B,48.92,-11.83,(30-200),0.960,0.050,1.350,0.110,0.6310,0.0082,,,12.25,0.85,11.62,1.02,11.04,1.10,5.33,0.19,10.33,1.62,10.33,1.62,10.33,1.62,Globorotalia inflata,11.60,0.75,11.69,0.75,11.69,0.75,11.05,0.70,9.66,0.65,,,,Meinicke et al. (2020)
G4,Orbulina universa,planktic,CD94 17B,48.92,-11.83,(10-130),2.080,0.170,1.170,0.120,0.6270,0.0082,,,12.33,1.01,11.62,1.02,11.04,1.10,5.33,0.19,11.02,2.14,11.02,2.14,11.02,2.14,Orbulina universa,12.75,0.76,12.93,0.76,12.93,0.76,11.77,0.73,10.33,0.68,,,,Meinicke et al. (2020)
I1,Globigerina bulloides,planktic,CD107 A ML 5A,52.93,-16.92,(0-300),-0.410,0.120,1.390,0.200,0.6350,0.0060,,,11.17,0.72,10.89,0.86,8.52,2.46,2.55,0.50,10.30,1.39,10.30,1.39,10.30,1.39,Globigerina bulloides,8.87,1.04,9.05,1.04,9.00,1.04,10.20,1.04,8.87,0.97,,,,Meinicke et al. (2020)
I2,Globorotalia truncatulinoides,planktic,CD107 A ML 5A,52.93,-16.92,(40-250),1.180,0.090,1.580,0.070,0.6350,0.0082,,,11.28,0.66,10.89,0.86,8.52,2.46,2.55,0.50,10.15,1.16,10.15,1.16,10.15,1.16,Globorotalia spp.,9.64,0.64,9.82,0.64,9.77,0.64,9.36,0.61,8.08,0.57,,,,Meinicke et al. (2020)
I4,Orbulina universa,planktic,CD107 A ML 5A,52.93,-16.92,(10-130),2.030,0.080,1.050,0.100,0.6260,0.0082,,,11.52,0.86,10.89,0.86,8.52,2.46,2.55,0.50,10.63,1.62,10.63,1.62,10.63,1.62,Orbulina universa,12.39,0.70,12.89,0.73,12.84,0.73,11.41,0.67,9.99,0.62,,,,Meinicke et al. (2020)
I5,Globorotalia hirsuta,planktic,CD107 A ML 5A,52.93,-16.92,(20-400),1.170,0.080,2.080,0.090,0.6430,0.0076,,,11.02,0.74,10.89,0.86,8.52,2.46,2.55,0.50,10.13,1.21,10.13,1.21,10.13,1.21,Globorotalia spp.,7.57,0.68,7.62,0.68,7.57,0.68,7.30,0.65,6.16,0.61,discordant,discordant,,Meinicke et al. (2020)
J1,Trilobatus trilobus,planktic,OJP2016 MW0691 1.5BC11,-1.02,157.83,(0-200),2.220,0.110,-2.060,0.090,0.5920,0.0082,,,25.52,4.06,16.96,7.89,10.60,8.03,2.21,0.50,25.29,3.47,25.29,3.47,25.29,3.47,Trilobatus sacculifer,24.46,0.71,23.82,0.95,22.56,1.21,26.95,0.71,24.41,0.66,,,,Meinicke et al. (2020)
K1,Neogloboquadrina pachyderma,planktic,GS15-198-62MC,70.02,-13.56,(25-280),0.770,0.040,3.660,0.050,0.6760,0.0062,,,0.57,0.93,0.57,1.03,0.17,0.84,-0.76,0.10,0.71,1.27,0.71,1.27,0.71,1.27,Neogloboquadrina pachyderma,-1.01,0.53,-0.85,0.53,-0.72,0.53,-0.40,0.50,-1.03,0.47,,,,Meinicke et al. (2020)
L1,Globigerinoides ruber white,planktic,KL88,34.78,-27.66,(0-120),1.050,0.110,0.610,0.090,0.6350,0.0076,,,18.47,1.42,15.38,2.67,11.05,3.79,3.63,0.50,18.65,2.29,18.65,2.29,18.65,2.29,Globigerinoides ruber white,12.88,0.62,12.61,0.69,11.93,0.87,15.55,0.62,13.84,0.58,discordant,,,Meinicke et al. (2020)
L2,Globigerina bulloides,planktic,KL88,34.78,-27.66,(0-300),-1.180,0.180,1.420,0.140,0.6280,0.0080,,,16.73,1.78,15.38,2.67,11.05,3.79,3.63,0.50,16.11,2.74,16.11,2.74,16.11,2.74,Globigerina bulloides,10.42,0.78,10.25,0.83,9.58,0.99,11.77,0.77,10.33,0.72,discordant,,,Meinicke et al. (2020)
L4,Globorotalia truncatulinoides,planktic,KL88,34.78,-27.66,(40-250),0.930,0.140,1.640,0.160,0.6470,0.0080,,,16.96,1.49,15.38,2.67,11.05,3.79,3.63,0.50,15.94,2.04,15.94,2.04,15.94,2.04,Globorotalia spp.,11.11,0.86,10.89,0.91,10.22,1.05,10.83,0.84,9.45,0.78,discordant,,,Meinicke et al. (2020)
L5,Globorotalia inflata,planktic,KL88,34.78,-27.66,(30-200),0.800,0.130,1.750,0.150,0.6450,0.0080,,,17.49,1.55,15.38,2.67,11.05,3.79,3.63,0.50,16.72,2.11,16.72,2.11,16.72,2.11,Globorotalia inflata,10.93,0.85,10.66,0.90,9.99,1.05,10.38,0.80,9.04,0.75,discordant,,,Meinicke et al. (2020)
M1,Globigerina bulloides,planktic,GS06-144-19MC,63.76,5.19,(0-300),-0.410,0.110,1.610,0.100,0.6370,0.0078,,,8.29,0.64,7.73,1.42,6.06,3.22,-0.64,0.50,7.44,1.51,7.44,1.51,7.44,1.51,Globigerina bulloides,8.21,0.77,8.04,0.77,8.04,0.77,9.54,0.76,8.25,0.71,,,,Meinicke et al. (2020)
M2,Globorotalia inflata,planktic,GS06-144-19MC,63.76,5.19,(30-200),0.920,0.050,1.950,0.050,0.6420,0.0078,,,8.45,0.62,7.73,1.42,6.06,3.22,-0.64,0.50,7.40,1.49,7.40,1.49,7.40,1.49,Globorotalia inflata,8.66,0.67,8.40,0.71,8.40,0.71,8.13,0.61,6.94,0.57,,,,Meinicke et al. (2020)
N1,Neogloboquadrina pachyderma,planktic,GS15-198-38MC,70.13,-17.66,(25-280),0.540,0.060,3.610,0.060,0.6710,0.0069,,,0.55,0.56,0.68,0.67,0.16,0.55,-0.76,0.50,0.69,1.30,0.69,1.30,0.69,1.30,Neogloboquadrina pachyderma,-0.93,0.55,-0.77,0.58,-0.60,0.58,-0.32,0.52,-0.95,0.48,,,,Meinicke et al. (2020)
O1,Neogloboquadrina pachyderma,planktic,GS15-198-63MC,70.53,-2.76,(25-280),0.390,0.060,2.780,0.070,0.6690,0.0072,,,4.79,1.09,3.93,1.64,1.94,2.28,-0.79,0.50,2.39,1.15,2.39,1.15,2.39,1.15,Neogloboquadrina pachyderma,3.10,0.55,3.15,0.55,3.02,0.55,3.73,0.52,2.83,0.48,,,,Meinicke et al. (2020)